municipios;populacao_total;area_total_km2;densidade_demografica;codigo_unidade_geografica
Valentim Gentil;11036;149,7;73,72;3556107
Valinhos;106793;148,1;721,02;3556206
Valparaíso;22576;857,5;26,33;3556305
Vargem;8801;142,8;61,64;3556354
Vargem Grande do Sul;39266;267,2;146,94;3556404
Vargem Grande Paulista;42997;42,1;1021,79;3556453
Várzea Paulista;107089;34,8;3076,65;3556503
Vera Cruz;10769;248,1;43,41;3556602
Vinhedo;63611;81,6;779,51;3556701
Viradouro;17297;217,7;79,44;3556800
Vista Alegre do Alto;6886;95,0;72,5;3556909
Vitória Brasil;1737;49,7;34,95;3556958
Votorantim;108809;183,7;592,47;3557006
Votuporanga;84692;424,1;199,69;3557105
Zacarias;2335;319,1;7,32;3557154
